id,Source name,R.A.,Dec,Radio flux d.,Fermi flux,Log nu_peak,Redshift,Original catalog
145,3HSPJ003532.9-131714.4,00 35 32.88,-13 17 14.31,10.6,0,15.5,0,3HSP
146,5BZBJ0035+5950 ,00 35 52.62,+59 50 04.3,147,4.37e-11,18.2,0,5BZCAT
147,3HSPJ003539.6-181651.6,00 35 39.6,-18 16 51.59,40.9,0,15.4,0.327,3HSP
148,5BZQJ0036-0932 ,00 36 06.95,-09 32 29.61,108,0,0,1.182,5BZCAT
149,3HSPJ003631.6-031326.9,00 36 31.68,-03 13 26.9,20.2,0,16.5,0.317,3HSP
150,4FGLJ0036.9+1832 ,00 36 59.4,+18 32 03.58,122.7,3.83e-12,0,0,Fermi 4LAC
151,4FGLJ0037.9+2612 ,00 37 19.14,+26 13 12.21,120.6,0,0,0,Fermi 4LAC
152,5BZQJ0037-2145 ,00 37 14.82,-21 45 24.69,161,0,0,2.513,5BZCAT
153,5BZBJ0037+2141 ,00 37 23.52,+21 41 53.3,18,0,0,0.598,5BZCAT
154,4FGLJ0037.6+3653 ,00 37 46.13,+36 59 10.78,844.2,2.11e-12,0,0,Fermi 4LAC
155,3HSPJ003736.2-230225.6,00 37 36.23,-23 02 25.58,18.1,0,16.5,0.36,3HSP
156,5BZBJ0037+1238 ,00 37 50.87,+12 38 20.0,75,8.18e-12,0,0,5BZCAT
157,5BZBJ0038+0013 ,00 38 08.47,+00 13 36.51,96,4.29e-12,0,0.74,5BZCAT
158,5BZQJ0038+4137 ,00 38 24.84,+41 37 06.31,692,0,0,1.353,5BZCAT
159,5BZQJ0038-2459 ,00 38 14.72,-24 59 02.11,413,3.42e-12,0,0.498,5BZCAT
160,4FGLJ0038.7-0204 ,00 38 20.4,-02 07 40.4,6189.1,3.16e-12,0,0,Fermi 4LAC
161,5BZQJ0038-0329 ,00 38 20.79,-03 29 58.81,225,0,0,1.858,5BZCAT
162,5BZQJ0038+1856 ,00 38 28.86,+18 56 17.7,72,0,0,1.193,5BZCAT
163,3FGLJ0039.1+4330 ,00 39 08.16,+43 30 14.61,8.2,2.65e-12,0,0,Fermi 3LAC
164,5BZQJ0039-0942 ,00 39 06.28,-09 42 46.79,154,4.64e-12,0,2.102,5BZCAT
165,3HSPJ003908.2-222001.4,00 39 08.21,-22 20 01.28,117.2,2.66e-12,16.7,0.064,3HSP
166,5BZQJ0039-1111 ,00 39 31.56,-11 11 02.39,309,0,0,0.552,5BZCAT
167,5BZBJ0039+1411 ,00 39 39.6,+14 11 57.51,266,0,0,1.738,5BZCAT
168,5BZUJ0040+4050 ,00 40 13.8,+40 50 04.7,47,2.45e-12,17.5,0,5BZCAT
169,5BZBJ0040-2719 ,00 40 16.4,-27 19 11.6,160,0,0,0.172,5BZCAT
170,5BZGJ0040-2340 ,00 40 24.89,-23 40 00.51,53,2.24e-12,0,0.213,5BZCAT
171,5BZBJ0040-3225 ,00 40 30.65,-32 25 20.09,111,0,0,0,5BZCAT
172,3HSPJ004040.8-232200.3,00 40 40.86,-23 22 00.29,18.7,0,16.1,0.18,3HSP
173,5BZQJ0040-0146 ,00 40 57.6,-01 46 31.9,573,0,0,1.178,5BZCAT
174,4FGLJ0040.9+3203 ,00 41 15.94,+32 11 07.51,413.7,0,0,0,Fermi 4LAC
175,3HSPJ004123.0+375855.7,00 41 23.03,+37 58 55.7,106.9,1.83e-12,15.3,0.38,3HSP
176,3HSPJ004143.2+083318.5,00 41 43.24,+08 33 18.5,5.1,0,17.2,0.5,3HSP
177,3HSPJ004141.2-160747.2,00 41 41.21,-16 07 47.2,18.3,9.91e-13,16.3,0.43,3HSP
178,5BZBJ0042+3641 ,00 42 08.09,+36 41 12.98,12,1.96e-12,16.3,0,5BZCAT
179,5BZQJ0042+2320 ,00 42 04.55,+23 20 01.21,1269,5.07e-12,0,1.426,5BZCAT
180,3HSPJ004147.0-470136.9,00 41 47.02,-47 01 36.91,16.6,0,17,0.15,3HSP
181,3HSPJ004202.3-143600.8,00 42 02.38,-14 36 00.68,17.6,0,16.2,0.5,3HSP
182,5BZQJ0042+1509 ,00 42 13.56,+15 09 15.4,156,0,0,1.159,5BZCAT
183,5BZQJ0042-4030 ,00 42 01.2,-40 30 39.2,190,0,0,2.478,5BZCAT
184,5BZQJ0042+1009 ,00 42 44.34,+10 09 49.5,232,0,0,1.657,5BZCAT
185,3HSPJ004332.5+754518.4,00 43 32.52,+75 45 18.39,3,0,16,0.27,3HSP
186,3HSPJ004322.8+180846.1,00 43 22.8,+18 08 46.1,20.2,0,16.5,0.322,3HSP
187,4FGLJ0043.6+2223 ,00 43 33.7,+22 23 46.49,156.2,1.98e-12,0,0,Fermi 4LAC
188,5BZUJ0043-2639 ,00 43 22.72,-26 39 06.01,78,0,0,0.451,5BZCAT
189,5BZQJ0043+0025 ,00 43 32.7,+00 25 00.01,123,0,0,1.128,5BZCAT
190,3HSPJ004334.1-044300.4,00 43 34.12,-04 43 00.4,29.8,2.2e-12,16.5,0.48,3HSP
191,5BZQJ0043+3426 ,00 43 48.89,+34 26 25.9,93,2.62e-11,0,0.966,5BZCAT
192,3HSPJ004348.6-111607.0,00 43 48.65,-11 16 06.99,24.9,2.78e-12,15.7,0.264,3HSP
193,5BZQJ0044-3752 ,00 44 17.04,-37 52 59.19,19,0,0,0.483,5BZCAT
194,3HSPJ004501.5+051215.3,00 45 01.56,+05 12 15.3,9,0,16.1,0.27,3HSP
195,5BZBJ0045+2127 ,00 45 19.26,+21 27 40.1,49,1.91e-11,15.8,0,5BZCAT
196,4FGLJ0045.1-3706 ,00 45 12.06,-37 05 48.4,102.8,6.95e-12,0,0,Fermi 3LAC
197,5BZBJ0045+1217 ,00 45 43.32,+12 17 11.79,104,1.06e-11,0,0,5BZCAT
198,5BZQJ0045-2243 ,00 45 39.59,-22 43 54.98,156,0,0,1.538,5BZCAT
199,3HSPJ004603.2+401346.6,00 46 03.26,+40 13 46.59,15,0,15.4,0.67,3HSP
200,3HSPJ004554.7-172328.5,00 45 54.77,-17 23 28.49,3.8,0,16,0.096,3HSP
201,5BZQJ0046+3900 ,00 46 47.53,+39 00 47.3,195,0,0,0.958,5BZCAT
202,5BZQJ0044-8422 ,00 44 26.56,-84 22 40.0,530,3.82e-12,0,1.032,5BZCAT
203,5BZBJ0047+5657 ,00 47 00.42,+56 57 42.4,190,1.08e-11,0,0,5BZCAT
204,5BZBJ0047+2017 ,00 47 09.78,+20 17 29.5,100,0,0,0,5BZCAT
205,3HSPJ004752.0+544746.0,00 47 52.04,+54 47 45.99,13.9,1.52e-12,16.5,0.26,3HSP
206,5BZQJ0047+2435 ,00 47 43.86,+24 35 15.89,268,0,0,0.62,5BZCAT
207,5BZBJ0047+3948 ,00 47 55.2,+39 48 57.6,92,8.3e-12,16.1,0.252,5BZCAT
208,4FGLJ0047.1-6203 ,00 47 25.21,-62 07 38.71,545.2,2.01e-12,0,0,Fermi 4LAC
209,5BZQJ0048+2235 ,00 48 02.59,+22 35 24.21,84,7.19e-12,0,1.161,5BZCAT
210,5BZGJ0048+3157 ,00 48 47.14,+31 57 25.2,292,0,0,0.015,5BZCAT
211,4FGLJ0048.6-2427 ,00 48 36.97,-24 26 53.48,33.3,1.89e-12,0,0,Fermi 4LAC
212,3HSPJ004715.1-811135.9,00 47 15.1,-81 11 35.91,9.4,0,16.6,0.3,3HSP
213,3HSPJ004859.1+422351.1,00 48 59.15,+42 23 51.1,4.3,1.78e-12,16.3,0.37,3HSP
214,4FGLJ0054.4+8627 ,00 52 32.84,+86 27 44.2,95.7,5.35e-12,0,0,Fermi 4LAC
215,4FGLJ0049.0+2252 ,00 49 01.37,+22 53 15.39,317.3,2.27e-12,0,0,Fermi 4LAC
216,3HSPJ004927.8+395003.9,00 49 27.83,+39 50 03.91,53.4,0,16.4,0.19,3HSP
