id,Source name,R.A.,Dec,Radio flux d.,Fermi flux,Log nu_peak,Redshift,Original catalog
2537,4FGLJ1014.3+4112 ,10 14 17.86,+41 12 16.99,45.5,2.68e-12,0,0,Fermi 3LAC
2538,4FGLJ1014.7+3210 ,10 14 45.54,+32 07 25.21,17.7,1.58e-12,0,0,Fermi 4LAC
2539,5BZBJ1015+4926 ,10 15 04.13,+49 26 00.7,378,9.35e-11,16.4,0.212,5BZCAT
2540,5BZQJ1014+2301 ,10 14 47.06,+23 01 16.6,1096,5e-12,0,0.566,5BZCAT
2541,3HSPJ101436.6-210142.9,10 14 36.66,-21 01 42.81,9.6,0,16.3,0.45,3HSP
2542,4FGLJ1014.8-0537 ,10 14 46.0,-05 40 49.0,91.6,1.66e-12,0,0,Fermi 4LAC
2543,5BZQJ1015+5551 ,10 15 44.41,+55 51 00.5,133,3.95e-12,0,0.677,5BZCAT
2544, 3FGLJ1015.2-4512 ,10 14 50.34,-45 08 41.1,0,4.84e-12,0,0,Fermi 3LAC
2545,3HSPJ101514.3-113803.4,10 15 14.28,-11 38 03.4,19.4,0,16,0.151,3HSP
2546,5BZBJ1015+1227 ,10 15 44.0,+12 27 06.98,184,0,0,0,5BZCAT
2547,3HSPJ101616.8+410812.5,10 16 16.8,+41 08 12.51,15,0,17.3,0.27,3HSP
2548,5BZQJ1015+0109 ,10 15 57.06,+01 09 13.71,129,0,0,0.78,5BZCAT
2549,5BZQJ1016+0513 ,10 16 03.12,+05 13 02.31,402,1.61e-11,0,1.714,5BZCAT
2550,5BZQJ1015-1952 ,10 15 52.25,-19 52 26.61,135,0,0,1.081,5BZCAT
2551,3HSPJ101619.3-040705.8,10 16 19.31,-04 07 05.8,0,0,15.5,0.48,3HSP
2552,3HSPJ101706.6+520247.2,10 17 06.66,+52 02 47.11,40,1.08e-12,15.8,0.379,3HSP
2553, 3FGLJ1016.0-0635 ,10 16 26.95,-06 36 25.2,0,0,0,0,Fermi 3LAC
2554,5BZQJ1017+6116 ,10 17 25.88,+61 16 27.51,404,0,0,2.805,5BZCAT
2555,5BZQJ1016+2037 ,10 16 44.31,+20 37 47.2,727,0,0,3.119,5BZCAT
2556,3HSPJ101620.6-424722.6,10 16 20.65,-42 47 22.59,0,4.01e-12,15.5,0.25,3HSP
2557,3HSPJ101659.7+213316.4,10 16 59.76,+21 33 16.41,0,0,16.3,0,3HSP
2558,4FGLJ1016.5-2650 ,10 16 34.69,-26 50 59.71,26.5,1.52e-12,0,0,Fermi 4LAC
2559,3HSPJ101724.3+253956.0,10 17 24.37,+25 39 56.01,22.7,0,15,0.417,3HSP
2560,3HSPJ101717.9-154933.6,10 17 17.9,-15 49 33.6,13.1,0,15.8,0.53,3HSP
2561,5BZQJ1018+3542 ,10 18 10.98,+35 42 39.38,616,6.7e-12,0,1.229,5BZCAT
2562,5BZBJ1018+1906 ,10 18 07.91,+19 06 15.51,15,3.51e-12,0,0,5BZCAT
2563, 3FGLJ1018.1+1904 ,10 18 13.19,+19 03 03.81,0,3.51e-12,0,0,Fermi 3LAC
2564,5BZBJ1018+5911 ,10 18 58.52,+59 11 27.81,98,3.14e-12,0,0,5BZCAT
2565,5BZGJ1018+3128 ,10 18 34.01,+31 28 33.99,5,0,17,0.161,5BZCAT
2566,4FGLJ1017.8+0715 ,10 18 22.5,+07 15 18.21,0,2.3e-12,0,0,Fermi 4LAC
2567,5BZQJ1018+0530 ,10 18 27.84,+05 30 29.91,278,4.25e-12,0,1.944,5BZCAT
2568,5BZQJ1018-3123 ,10 18 28.74,-31 23 53.8,379,1.23e-11,0,0.794,5BZCAT
2569,3HSPJ101858.3+215958.7,10 18 58.37,+21 59 58.7,4.7,0,17,0.572,3HSP
2570,4FGLJ1018.9+1043 ,10 18 57.97,+10 36 25.59,72.1,2.55e-12,0,0,Fermi 4LAC
2571,5BZBJ1019+6320 ,10 19 50.87,+63 20 01.6,109,4.63e-12,0,0,5BZCAT
2572,3FGLJ1021.8+8023 ,10 22 02.1,+80 23 49.88,200,4.75e-12,0,0,Fermi 3LAC
2573,5BZGJ1020+6250 ,10 20 13.75,+62 50 10.1,30,0,0,0.25,5BZCAT
2574,5BZBJ1019-2708 ,10 19 08.46,-27 08 55.71,180,0,0,0,5BZCAT
2575,4FGLJ1019.7+0511 ,10 19 48.23,+05 13 28.81,8.4,2.32e-12,0,0,Fermi 4LAC
2576,5BZQJ1019-0024 ,10 19 56.74,-00 24 09.68,13,0,0,1.13,5BZCAT
2577,3HSPJ102004.7-120959.4,10 20 04.72,-12 09 59.39,36.3,0,15.2,0,3HSP
2578,5BZUJ1021+4523 ,10 21 06.04,+45 23 31.81,131,0,0,0.364,5BZCAT
2579,5BZBJ1021+1625 ,10 21 00.34,+16 25 54.01,17,1.45e-12,16.1,0,5BZCAT
2580,5BZQJ1021+3437 ,10 21 17.46,+34 37 21.61,457,0,0,1.4,5BZCAT
2581,4FGLJ1020.7-3920 ,10 20 38.94,-39 20 56.29,39.2,2.06e-12,0,0,Fermi 4LAC
2582,5BZBJ1021+3806 ,10 21 28.86,+38 06 43.3,4,0,16.2,0.467,5BZCAT
2583,5BZBJ1021+1411 ,10 21 30.73,+14 11 37.28,15,0,0,0.51,5BZCAT
2584,5BZGJ1022+5124 ,10 22 12.61,+51 24 00.21,5,0,18.2,0.142,5BZCAT
2585,3HSPJ102123.6-300220.7,10 21 23.58,-30 02 20.61,6.1,0,16.4,0.29,3HSP
2586,5BZQJ1022+4239 ,10 22 13.12,+42 39 25.59,186,0,0,0.991,5BZCAT
2587,5BZQJ1022+3931 ,10 22 37.4,+39 31 50.48,92,0,0,0.605,5BZCAT
2588,3HSPJ102251.2+452141.6,10 22 51.24,+45 21 41.61,2.8,0,16.5,0.58,3HSP
2589,4FGLJ1022.4-4231 ,10 22 18.36,-42 32 06.79,91.4,3.53e-12,0,0,Fermi 3LAC
2590,5BZBJ1022-0113 ,10 22 43.73,-01 13 02.09,36,7.72e-12,17.1,0,5BZCAT
2591,5BZQJ1023+3948 ,10 23 11.57,+39 48 15.4,1123,1.83e-11,0,1.255,5BZCAT
2592,5BZQJ1023+2649 ,10 23 11.09,+26 49 41.7,165,0,0,2.79,5BZCAT
2593,5BZQJ1023+2856 ,10 23 24.04,+28 56 51.0,140,2.6e-12,0,0.671,5BZCAT
2594,5BZQJ1023+3953 ,10 23 33.49,+39 53 12.69,61,1.83e-11,0,1.333,5BZCAT
2595,5BZBJ1023+3000 ,10 23 39.73,+30 00 57.7,9,1.99e-12,16,0.433,5BZCAT
2596,3HSPJ102345.5-055523.5,10 23 45.54,-05 55 23.41,28,0,16.5,0.423,3HSP
2597,3HSPJ102404.8-161935.6,10 24 04.8,-16 19 35.61,18.6,0,15.7,0.44,3HSP
2598,5BZQJ1024-3234 ,10 24 00.41,-32 34 16.1,469,1.05e-11,0,1.568,5BZCAT
2599,5BZBJ1023-4336 ,10 23 56.09,-43 36 02.48,32,1.25e-11,15.9,0,5BZCAT
2600,5BZQJ1024+1912 ,10 24 44.81,+19 12 20.41,681,0,0,0.828,5BZCAT
2601, 3FGLJ1024.8+0105 ,10 24 37.73,+00 56 13.88,0,0,0,0,Fermi 3LAC
2602,5BZQJ1025+4143 ,10 25 04.2,+41 43 32.41,10,0,0,0.682,5BZCAT
2603,5BZBJ1024+2332 ,10 24 53.63,+23 32 34.0,109,4e-12,0,0.165,5BZCAT
2604,3HSPJ102432.3-454426.9,10 24 32.35,-45 44 26.8,0,2.78e-12,17,0.37,3HSP
2605,4FGLJ1027.6+8251 ,10 28 41.99,+82 53 40.48,7.7,3.48e-12,0,0,Fermi 4LAC
2606,5BZBJ1025+0402 ,10 25 23.04,+04 02 29.0,49,0,16.2,0.208,5BZCAT
2607,3HSPJ102519.0-104106.1,10 25 19.08,-10 41 06.1,4.2,0,16,0.6,3HSP
2608,5BZUJ1026+6746 ,10 26 34.01,+67 46 11.99,235,0,0,1.181,5BZCAT
2609,4FGLJ1027.2+7427 ,10 27 24.13,+74 28 26.11,185.2,9.3e-12,0,0,Fermi 3LAC
2610,5BZQJ1025-0509 ,10 25 45.41,-05 09 54.1,190,0,0,1.126,5BZCAT
2611,5BZQJ1025+1253 ,10 25 56.28,+12 53 48.91,540,0,0,0.663,5BZCAT
2612,3HSPJ102704.3+671619.0,10 27 04.32,+67 16 18.91,3.4,0,15.7,0.27,3HSP
2613,5BZQJ1026+2542 ,10 26 23.62,+25 42 59.39,257,0,0,5.285,5BZCAT
2614,5BZBJ1026+5147 ,10 26 59.56,+51 47 03.8,54,0,0,0,5BZCAT
2615,5BZBJ1027+6317 ,10 27 24.95,+63 17 52.9,26,3.76e-12,15.5,0,5BZCAT
2616,5BZQJ1027+4803 ,10 27 13.07,+48 03 13.5,242,0,0,1.286,5BZCAT
2617,5BZBJ1027+0609 ,10 27 03.39,+06 09 33.91,11,1.91e-12,16.5,0.449,5BZCAT
2618,5BZBJ1026-1748 ,10 26 58.5,-17 48 58.5,12,1.51e-11,15.7,0.267,5BZCAT
2619,5BZBJ1027+3526 ,10 27 32.38,+35 26 21.98,12,0,17.2,0,5BZCAT
2620,4FGLJ1027.6+1828 ,10 27 45.02,+18 31 38.71,45.5,3.09e-12,0,0,Fermi 3LAC
2621,4FGLJ1028.3+3108 ,10 28 17.61,+31 07 34.21,111.2,1.35e-12,0,0,Fermi 4LAC
2622,5BZQJ1028+0255 ,10 28 20.39,+02 55 22.4,284,3.28e-12,0,0.715,5BZCAT
2623,5BZGJ1028+0555 ,10 28 27.6,+05 55 15.2,18,0,16,0.234,5BZCAT
2624,5BZGJ1028+1702 ,10 28 39.3,+17 02 10.89,80,0,16.3,0.169,5BZCAT
2625,5BZQJ1028-0236 ,10 28 34.01,-02 36 59.61,87,4.92e-12,0,0.47,5BZCAT
2626,5BZQJ1028-0100 ,10 28 37.01,-01 00 27.5,141,0,0,1.531,5BZCAT
2627,5BZQJ1028-0844 ,10 28 38.8,-08 44 38.5,270,0,0,4.276,5BZCAT
2628,5BZQJ1029-1852 ,10 29 33.09,-18 52 50.3,376,0,0,1.784,5BZCAT
2629,5BZUJ1031+7441 ,10 31 22.01,+74 41 58.3,209,6.37e-12,0,0.123,5BZCAT
2630,5BZUJ1030+3102 ,10 30 59.09,+31 02 55.71,231,0,0,0.178,5BZCAT
2631,4FGLJ1030.4-3001 ,10 30 31.01,-30 03 40.78,66.7,2.18e-12,0,0,Fermi 4LAC
2632,5BZBJ1031+5053 ,10 31 18.51,+50 53 35.8,38,1.15e-11,16.9,0.361,5BZCAT
2633,3HSPJ103040.4-203036.3,10 30 40.38,-20 30 36.21,11.5,6.28e-12,15.2,0.28,3HSP
2634,5BZQJ1031+6020 ,10 31 44.75,+60 20 30.4,321,9.69e-12,0,1.23,5BZCAT
2635,5BZBJ1032+6623 ,10 32 39.06,+66 23 23.2,85,2.93e-12,0,0,5BZCAT
2636,3HSPJ103137.8-260716.6,10 31 37.87,-26 07 16.6,20.7,0,17,0.25,3HSP
2637,5BZBJ1032+0401 ,10 32 08.36,+04 01 56.99,167,0,0,0,5BZCAT
2638,5BZQJ1032+6051 ,10 32 53.95,+60 51 27.61,68,4.17e-11,0,1.064,5BZCAT
2639,5BZQJ1032-1400 ,10 32 06.23,-14 00 19.51,196,0,0,1.039,5BZCAT
2640,5BZBJ1026-8543 ,10 26 34.47,-85 43 14.3,267,1.14e-11,15,0,5BZCAT
2641,5BZBJ1032+0309 ,10 32 20.27,+03 09 49.21,34,0,0,0.323,5BZCAT
2642,5BZBJ1032+3738 ,10 32 40.73,+37 38 26.8,85,5.54e-12,0,0,5BZCAT
2643,5BZQJ1033+4116 ,10 33 03.71,+41 16 06.2,474,1.41e-11,0,1.117,5BZCAT
2644,5BZGJ1033+4222 ,10 33 17.93,+42 22 36.4,46,8.96e-13,15.8,0.211,5BZCAT
2645,5BZQJ1033+3935 ,10 33 22.06,+39 35 51.1,401,0,0,1.095,5BZCAT
2646,5BZQJ1033+6051 ,10 33 51.41,+60 51 07.3,462,4.17e-11,0,1.401,5BZCAT
2647,3HSPJ103346.4+370824.9,10 33 46.38,+37 08 24.9,7.5,4.79e-12,17.1,0.448,3HSP
2648,5BZUJ1033+0711 ,10 33 34.02,+07 11 26.01,156,0,0,1.535,5BZCAT
2649,5BZBJ1033-1436 ,10 33 35.93,-14 36 27.61,13,0,15.9,0.367,5BZCAT
2650,3HSPJ103332.1-503528.8,10 33 32.15,-50 35 28.71,0,7.07e-12,15.7,0.24,3HSP
2651,4FGLJ1034.0-2547 ,10 33 51.04,-25 45 07.99,44,2.69e-12,0,0,Fermi 4LAC
2652,4FGLJ1030.2-8403 ,10 30 15.28,-84 03 08.6,19.8,2.6e-12,0,0,Fermi 4LAC
2653,5BZQJ1035+5652 ,10 35 06.01,+56 52 58.0,333,0,0,1.855,5BZCAT
2654,5BZBJ1035+0723 ,10 35 07.62,+07 23 38.5,13,0,0,0,5BZCAT
2655,3HSPJ103438.4-464403.5,10 34 38.47,-46 44 03.4,0,1.86e-12,17.1,0.33,3HSP
2656,4FGLJ1035.1-0608 ,10 35 03.66,-06 12 05.68,17.3,1.91e-12,0,0,Fermi 4LAC
2657,4FGLJ1035.6+4409 ,10 35 32.11,+44 09 31.39,43,2.42e-12,0,0,Fermi 4LAC
2658,4FGLJ1035.3+5541 ,10 35 45.53,+55 42 54.39,130.2,2.72e-12,0,0,Fermi 3LAC
2659,5BZQJ1035-2011 ,10 35 02.15,-20 11 34.4,915,0,0,2.198,5BZCAT
2660,4FGLJ1035.3-2050 ,10 35 15.29,-20 50 26.19,66.8,2.03e-12,0,0,Fermi 4LAC
2661,5BZQJ1035+3756 ,10 35 51.17,+37 56 41.71,53,0,0,1.51,5BZCAT
2662,5BZQJ1036+1440 ,10 36 03.71,+14 40 45.01,117,0,0,1.373,5BZCAT
2663,5BZQJ1036+2203 ,10 36 32.98,+22 03 12.2,261,5.08e-12,0,0.594,5BZCAT
2664,5BZBJ1036+1233 ,10 36 40.33,+12 33 38.7,108,1.21e-12,0,0,5BZCAT
2665,5BZQJ1036-0605 ,10 36 47.56,-06 05 41.2,144,0,0,1.05,5BZCAT
2666,3HSPJ103655.9-195424.1,10 36 55.93,-19 54 24.01,80,0,16.2,0.3,3HSP
2667,5BZBJ1037+5711 ,10 37 44.28,+57 11 55.71,72,3.23e-11,15.5,0,5BZCAT
2668,5BZQJ1036-3744 ,10 36 53.44,-37 44 15.1,329,0,0,1.821,5BZCAT
2669,5BZQJ1037-2934 ,10 37 16.08,-29 34 02.71,1113,5.17e-12,0,0.312,5BZCAT
2670,5BZQJ1037+0424 ,10 37 39.33,+04 24 01.58,166,0,0,2.328,5BZCAT
2671,3HSPJ103838.1+675516.1,10 38 38.14,+67 55 16.1,35.6,0,16.7,0.5,3HSP
2672,5BZQJ1037-2823 ,10 37 42.45,-28 23 03.98,409,1.53e-11,0,1.066,5BZCAT
2673,4FGLJ1039.9+7326 ,10 39 39.48,+73 25 56.89,14.8,2.46e-12,0,0,Fermi 4LAC
2674,5BZBJ1038+3927 ,10 38 45.86,+39 27 34.88,12,0,0,0,5BZCAT
2675,4FGLJ1038.2-2425 ,10 38 24.06,-24 23 54.88,125.2,2.38e-12,0,0,Fermi 4LAC
2676,5BZQJ1038-4325 ,10 38 14.7,-43 25 45.91,534,0,0,1.356,5BZCAT
2677,5BZQJ1038+0512 ,10 38 46.78,+05 12 29.01,640,0,0,0.473,5BZCAT
2678,3HSPJ103931.1+545548.4,10 39 31.13,+54 55 48.39,7.8,0,17.3,0.617,3HSP
2679, 3FGLJ1038.9-5311 ,10 38 40.65,-53 11 43.18,0,2.18e-11,0,0,Fermi 3LAC
2680,5BZQJ1039-1541 ,10 39 06.7,-15 41 06.61,450,0,0,0.525,5BZCAT
2681,4FGLJ1039.2-2848 ,10 39 21.73,-28 50 08.8,36.9,2.24e-12,0,0,Fermi 4LAC
2682,5BZBJ1040+0947 ,10 40 28.99,+09 47 54.2,29,0,16.7,0.304,5BZCAT
2683,4FGLJ1040.5+0617 ,10 40 31.62,+06 17 21.69,34.7,1.85e-11,0,0,Fermi 3LAC
2684,3HSPJ104058.3+134150.6,10 40 58.37,+13 41 50.6,5.6,2.39e-12,16.8,0.7,3HSP
2685,3HSPJ104144.4+594257.3,10 41 44.46,+59 42 57.31,3.7,0,15.9,0.425,3HSP
2686,3HSPJ104108.5-120331.0,10 41 08.58,-12 03 30.99,14.2,2.45e-12,15.4,0.31,3HSP
2687,5BZQJ1041+0610 ,10 41 17.15,+06 10 16.89,1406,0,0,1.264,5BZCAT
2688,5BZQJ1041+5233 ,10 41 46.78,+52 33 28.11,698,0,0,0.678,5BZCAT
2689,5BZGJ1041+1324 ,10 41 25.62,+13 24 58.28,53,0,0,0.375,5BZCAT
2690,5BZGJ1041+3901 ,10 41 49.14,+39 01 19.41,34,1.88e-12,16.5,0.21,5BZCAT
2691,5BZQJ1044+8054 ,10 44 23.04,+80 54 39.38,828,1.03e-11,0,1.254,5BZCAT
2692,4FGLJ1041.9-0557 ,10 42 04.06,-05 58 14.69,83.7,2.8e-12,0,0,Fermi 3LAC
2693,5BZQJ1041-4740 ,10 41 44.63,-47 40 00.01,0,0,0,2.558,5BZCAT
2694,3HSPJ104203.0-412929.9,10 42 02.99,-41 29 29.9,20.4,3.11e-12,15.3,0.25,3HSP
2695,5BZBJ1042+1513 ,10 42 55.43,+15 13 14.91,8,0,0,0.307,5BZCAT
2696,3HSPJ104810.9+855958.6,10 48 10.92,+85 59 58.59,13.8,0,16,0.23,3HSP
2697,5BZQJ1043+2408 ,10 43 09.02,+24 08 35.41,325,1.05e-11,0,0.56,5BZCAT
2698,3HSPJ104303.8+005420.5,10 43 03.84,+00 54 20.41,33.3,2.14e-12,17.1,0.4,3HSP
2699,5BZQJ1042-4143 ,10 42 44.4,-41 43 25.89,69,0,0,0.431,5BZCAT
2700,5BZBJ1043+0653 ,10 43 23.88,+06 53 10.1,8,1.45e-12,0,0,5BZCAT
2701,5BZQJ1044+6037 ,10 44 18.2,+60 37 01.81,18,0,0,1.05,5BZCAT
2702,5BZQJ1044+5322 ,10 44 10.66,+53 22 20.49,491,0,0,1.901,5BZCAT
2703,5BZQJ1044+2959 ,10 44 06.34,+29 59 00.99,41,0,0,2.983,5BZCAT
2704,3HSPJ104603.0+754040.6,10 46 03.08,+75 40 40.51,8.2,0,17.1,0.52,3HSP
2705,3HSPJ104516.2+275133.4,10 45 16.29,+27 51 33.4,3.5,0,15.4,0.45,3HSP
2706,5BZQJ1045+0624 ,10 45 52.72,+06 24 36.5,157,0,0,1.509,5BZCAT
2707,4FGLJ1045.8-2928 ,10 45 40.61,-29 27 26.31,960.3,5.98e-12,0,0,Fermi 3LAC
2708,5BZQJ1046+5354 ,10 46 24.03,+53 54 26.2,156,0,0,1.71,5BZCAT
2709,4FGLJ1046.0+5448 ,10 46 28.79,+54 49 44.4,81.6,1.55e-12,0,0,Fermi 4LAC
2710,3HSPJ104549.8-414310.3,10 45 49.8,-41 43 10.3,129.7,0,16.4,0.26,3HSP
2711,3HSPJ104551.1-400041.0,10 45 51.13,-40 00 41.0,4.1,0,16.3,0.243,3HSP
2712,4FGLJ1045.9-2331 ,10 46 03.7,-23 28 55.3,10.1,2.85e-12,0,0,Fermi 4LAC
2713,3HSPJ104705.9+673758.0,10 47 05.88,+67 37 57.9,14.7,9.3e-13,15,0.5,3HSP
2714,5BZBJ1047+7238 ,10 47 47.52,+72 38 12.98,36,6.11e-12,0,0,5BZCAT
2715,3HSPJ104654.5-002835.8,10 46 54.5,-00 28 35.79,0,0,15.4,0.74,3HSP
2716,5BZBJ1046-2535 ,10 46 51.43,-25 35 47.18,13,2.39e-12,18,0.254,5BZCAT
2717,5BZQJ1047+4835 ,10 47 32.27,+48 35 30.91,66,0,0,0.866,5BZCAT
2718,5BZQJ1047-1308 ,10 47 03.91,-13 08 32.31,309,0,0,1.288,5BZCAT
2719,5BZBJ1047+5437 ,10 47 45.82,+54 37 41.01,7,0,15.8,0.54,5BZCAT
2720,5BZUJ1048+7143 ,10 48 27.6,+71 43 35.9,737,6.82e-11,0,1.15,5BZCAT
2721,5BZQJ1047+2635 ,10 47 36.68,+26 35 27.38,41,0,0,0.99,5BZCAT
2722,4FGLJ1047.9+0055 ,10 48 07.74,+00 55 43.39,271.6,2.65e-12,0,0,Fermi 4LAC
2723,3HSPJ104756.9-373730.8,10 47 56.93,-37 37 30.68,7,2.64e-12,15.9,0,3HSP
2724,5BZQJ1048-1909 ,10 48 06.61,-19 09 35.71,1156,0,0,0.595,5BZCAT
2725,3FGLJ1047.8-6216 ,10 47 42.95,-62 17 14.6,2285,1.91e-11,0,0,Fermi 3LAC
2726,5BZGJ1048+5009 ,10 48 57.6,+50 09 45.39,8,2.12e-12,17.2,0.403,5BZCAT
2727,5BZUJ1049+2338 ,10 49 00.24,+23 38 21.01,25,5.05e-12,0,0.319,5BZCAT
2728,5BZQJ1049+3737 ,10 49 09.82,+37 37 59.01,53,0,0,2.987,5BZCAT
2729,3HSPJ104920.7+431525.6,10 49 20.69,+43 15 25.59,11.2,0,16.5,0.5,3HSP
2730,3HSPJ104938.7+274213.0,10 49 38.77,+27 42 12.99,19.8,1.7e-12,16.4,0.144,3HSP
2731,5BZQJ1049-2231 ,10 49 21.87,-22 31 07.5,232,0,0,1.609,5BZCAT
2732,5BZBJ1049+1548 ,10 49 39.34,+15 48 37.79,51,5.54e-12,0,0.327,5BZCAT
2733,4FGLJ1049.8+1429 ,10 49 46.32,+14 29 38.5,131.3,9.2e-12,0,0,Fermi 3LAC
2734,5BZQJ1050+0432 ,10 50 10.06,+04 32 48.91,102,1.14e-11,0,1.216,5BZCAT
2735,3HSPJ105040.2+331004.4,10 50 40.29,+33 10 04.4,4.4,0,16.7,0.63,3HSP
2736,5BZQJ1050+3430 ,10 50 58.12,+34 30 10.9,554,0,0,2.52,5BZCAT
2737,5BZQJ1051+2027 ,10 51 01.37,+20 27 19.9,106,0,0,1.036,5BZCAT
2738,5BZUJ1051+4644 ,10 51 15.9,+46 44 17.41,321,0,0,0,5BZCAT
2739,5BZQJ1050-3517 ,10 50 53.41,-35 17 44.8,177,0,0,2.971,5BZCAT
2740,5BZBJ1051+3943 ,10 51 25.36,+39 43 25.71,11,2.58e-12,16.8,0.498,5BZCAT
2741,5BZQJ1051-3138 ,10 51 04.76,-31 38 14.31,1199,2.97e-12,0,1.429,5BZCAT
2742,5BZQJ1051+2119 ,10 51 48.78,+21 19 52.21,1254,0,0,1.3,5BZCAT
2743,5BZGJ1052+4241 ,10 52 04.13,+42 41 53.19,97,0,0,0.136,5BZCAT
2744,5BZBJ1051+0103 ,10 51 51.83,+01 03 10.79,16,2.83e-12,0,0.265,5BZCAT
2745, 3FGLJ1051.5-6517 ,10 51 23.52,-65 18 08.6,0,9.45e-12,0,0,Fermi 3LAC
2746,3HSPJ105224.5+081409.5,10 52 24.52,+08 14 09.38,35.8,2.21e-12,16.8,0.223,3HSP
2747,4FGLJ1052.9-3743 ,10 52 58.07,-37 43 18.51,58,3.41e-12,0,0,Fermi 3LAC
2748,5BZGJ1053+4929 ,10 53 44.13,+49 29 56.0,65,4.69e-12,15.8,0.14,5BZCAT
2749,5BZQJ1053+5401 ,10 53 57.05,+54 01 49.0,266,0,0,0.995,5BZCAT
2750,5BZQJ1053-0014 ,10 53 42.22,-00 14 20.11,47,0,0,0.676,5BZCAT
2751,5BZQJ1054+3855 ,10 54 31.9,+38 55 21.61,62,0,0,1.363,5BZCAT
2752,4FGLJ1054.2+3926 ,10 54 32.41,+39 28 12.28,101.1,1.49e-12,0,0,Fermi 4LAC
2753,5BZBJ1054+2210 ,10 54 30.6,+22 10 54.8,65,1.35e-11,0,0,5BZCAT
2754,3HSPJ105437.8+202740.3,10 54 37.86,+20 27 40.21,9.3,0,16.5,0.225,3HSP
2755,5BZQJ1054-0713 ,10 54 40.99,-07 13 26.11,114,0,0,1.618,5BZCAT
2756,3HSPJ105451.4+162607.6,10 54 51.47,+16 26 07.51,3.9,0,15.8,0.505,3HSP
2757,5BZBJ1055-0126 ,10 55 34.36,-01 26 16.11,12,3.55e-12,16.2,0,5BZCAT
2758,5BZQJ1056+7011 ,10 56 53.62,+70 11 45.81,311,9.65e-12,0,2.492,5BZCAT
2759,5BZGJ1056+0252 ,10 56 06.6,+02 52 13.51,4,0,17.7,0.236,5BZCAT
2760,5BZQJ1058+8114 ,10 58 11.53,+81 14 32.71,240,6.29e-12,0,0.706,5BZCAT
2761,3HSPJ105707.4+551032.1,10 57 07.44,+55 10 32.08,6,1.04e-12,15.7,0.7,3HSP
2762,5BZBJ1057+2303 ,10 57 23.09,+23 03 18.68,8,0,16.9,0.379,5BZCAT
2763,5BZQJ1057-2342 ,10 57 24.42,-23 42 01.58,141,5.91e-12,0,1.125,5BZCAT
2764,5BZBJ1058+4304 ,10 58 02.91,+43 04 41.41,308,0,0,0,5BZCAT
2765,3HSPJ105757.6+293714.1,10 57 57.65,+29 37 14.01,9.4,0,16.9,0.57,3HSP
2766,5BZBJ1057-0059 ,10 57 52.79,-00 59 08.41,3,0,0,0,5BZCAT
2767,5BZBJ1057-2754 ,10 57 50.76,-27 54 10.79,64,5.47e-12,16.3,0.091,5BZCAT
2768,5BZQJ1057-2509 ,10 57 54.12,-25 09 29.01,333,0,0,0.593,5BZCAT
2769,3HSPJ105833.7+593218.3,10 58 33.76,+59 32 18.31,5.8,0,16,0.591,3HSP
2770,5BZQJ1057-2433 ,10 57 55.39,-24 33 48.81,1106,0,0,1.086,5BZCAT
2771,5BZBJ1058+5628 ,10 58 37.72,+56 28 11.2,229,3.13e-11,15.1,0.143,5BZCAT
2772,5BZQJ1058-3024 ,10 58 00.42,-30 24 55.0,261,0,0,2.523,5BZCAT
2773,5BZQJ1058+1951 ,10 58 17.88,+19 51 50.9,2143,0,0,1.116,5BZCAT
2774,5BZQJ1058-0309 ,10 58 10.99,-03 09 27.21,449,0,0,0.708,5BZCAT
2775,5BZBJ1058+2817 ,10 58 29.88,+28 17 46.21,88,5.48e-12,0,0,5BZCAT
2776,5BZUJ1058+0133 ,10 58 29.61,+01 33 58.71,3220,6.61e-11,0,0.89,5BZCAT
2777,5BZBJ1059-1134 ,10 59 12.42,-11 34 22.8,261,3.22e-11,0,0,5BZCAT
2778,5BZQJ1059+2057 ,10 59 39.02,+20 57 21.99,121,2.89e-12,0,0.392,5BZCAT
2779,5BZGJ1059+4343 ,10 59 50.84,+43 43 15.31,40,0,0,0.459,5BZCAT
2780,3HSPJ105929.0-191221.9,10 59 29.04,-19 12 21.81,45.9,0,15.3,0.222,3HSP
2781,5BZUJ1059+4051 ,10 59 51.9,+40 51 13.89,267,0,0,1.746,5BZCAT
2782,5BZGJ1100+4210 ,11 00 21.0,+42 10 53.11,15,0,16,0.323,5BZCAT
2783,5BZBJ1100+4019 ,11 00 21.06,+40 19 27.91,18,4.56e-12,16.2,0.225,5BZCAT
2784,5BZBJ1058-8003 ,10 58 43.31,-80 03 54.21,546,1.98e-11,0,0.581,5BZCAT
2785,5BZQJ1101+7225 ,11 01 48.79,+72 25 36.98,1245,0,0,1.462,5BZCAT
2786,5BZQJ1100-4249 ,11 00 50.21,-42 49 14.69,157,0,0,3.56,5BZCAT
2787, 3FGLJ1101.5+4106 ,11 01 24.59,+41 03 49.6,0,2.77e-12,0,0,Fermi 3LAC
2788,5BZBJ1101+4108 ,11 01 24.72,+41 08 47.4,21,2.77e-12,15.6,0,5BZCAT
2789,4FGLJ1101.3+7017 ,11 02 01.35,+70 18 57.31,83.2,3.07e-12,0,0,Fermi 4LAC
2790,4FGLJ1101.5+3904 ,11 01 30.06,+39 04 32.59,335.2,4.86e-12,0,0,Fermi 4LAC
