id,3HSP Source name,BZcat name,R.A.,Dec,NVSS/FIRSTflux density(mJy),X-ray flux d. @ 1keV (μJy),Log(peak flux),γ-ray counterpart,Fermi γ-ray slope,2WHSP name
1276,3HSPJ140635.8-005548,,211.64933,-0.93,10.8,0.17,-12.1,,,2WHSPJ140635.8-005548
1277,3HSPJ140641.0+481824,,211.6725,48.30667,7.4,0.07,-12.5,,,2WHSPJ140641.4+481824
1279,3HSPJ140653.5+272606,,211.72312,27.435,7.7,0.28,-12.3,,,2WHSPJ140653.5+272605
1281,3HSPJ140705.3+104810,,211.77208,10.80278,13.4,0.13,-12.5,,,2WHSPJ140705.2+104810
1283,3HSPJ140713.1-070939,,211.80454,-7.16083,7.5,,-12.4,,,2WHSPJ140713.0-070938
1284,3HSPJ140734.1+120941,,211.89204,12.16139,3.2,0.09,-12.9,,,2WHSPJ140734.0+120941
1285,3HSPJ140848.2+221433,,212.20063,22.2425,15.5,,-12.7,,,2WHSPJ140848.1+221432
1288,3HSPJ140954.9-104857,,212.47867,-10.81583,38.5,0.1,-12.3,,,2WHSPJ140954.7-104856
1290,3HSPJ141012.4+113547,,212.55146,11.59639,3.0,0.16,-12.5,,,2WHSPJ141012.3+113547
1291,3HSPJ141027.1+275954,,212.61271,27.99833,8.7,0.06,-12.9,,1.52,2WHSPJ141027.0+275953
1296,3HSPJ141136.4-024033,,212.90154,-2.67583,11.9,0.12,-13?,,,2WHSPJ141136.3-024032
1299,3HSPJ141324.1+484535,,213.35254,48.75972,1.6,0.01,-13.6,,,2WHSPJ141324.5+484534
1300,3HSPJ141358.0+764455,,213.49337,76.74861,7.3,0.42,-11.4,,,2WHSPJ141358.3+764454
1302,3HSPJ141427.0+035752,,213.6125,3.96444,4.3,0.46,-11.9,,,2WHSPJ141427.3+035800
1303,3HSPJ141446.0+163907,,213.69254,16.65194,6.8,0.11,-12.8?,,,2WHSPJ141446.1+163906
1306,3HSPJ141706.5+624638,,214.27729,62.77722,3.5,0.04,-12.7?,,,2WHSPJ141706.4+624637
1307,3HSPJ141750.1+593527,,214.45871,59.59083,3.3,0.03,-12.9,,,2WHSPJ141749.9+593526
1312,3HSPJ141839.7+243332,,214.66554,24.55889,0.8,,-12.9?,,,2WHSPJ141839.7+243332
1314,3HSPJ141905.1+133346,,214.77117,13.56278,13.2,,-12.4,,,2WHSPJ141904.9+133346
1316,3HSPJ142041.6+554450,,215.17338,55.74722,9.9,0.04,-13?,,,2WHSPJ142041.5+554449
1317,3HSPJ142227.4+233740,,215.61429,23.62778,17.2,0.08,-12.7,,,2WHSPJ142227.4+233740
1319,3HSPJ142320.6+053000,,215.836,5.5,10.9,0.09,-12.7,,,2WHSPJ142320.5+053000
1323,3HSPJ142452.7-143101,,216.2195,-14.51694,4.7,0.15,-12.3,,,2WHSPJ142452.6-143100
1324,3HSPJ142508.0+664938,,216.28379,66.82722,4.4,0.04,-12.8,,,2WHSPJ142508.0+664937
1327,3HSPJ142659.5-255833,,216.74804,-25.97583,15.0,0.78,-11.9,,,2WHSPJ142659.5-255832
1328,3HSPJ142710.5+054130,,216.79383,5.69167,22.2,0.4,-12,,,2WHSPJ142710.4+054130
1329,3HSPJ142723.0+590730,,216.84592,59.125,8.4,0.03,-13?,,,2WHSPJ142722.9+590730
1331,3HSPJ142739.6-252103,,216.91496,-25.35083,3.7,0.82,>-12.1,,,2WHSPJ142739.6-252103
1333,3HSPJ142829.9+743002,,217.12454,74.50056,35.7,0.08,-12.5,4FGL J1428.8+7429,1.76,2WHSPJ142829.8+743002
1336,3HSPJ142918.2-013854,,217.32571,-1.64833,15.8,0.29,-12.3,,,2WHSPJ142918.1-013853
1337,3HSPJ143005.0+412707,,217.52088,41.45194,31.7,0.12,-12.4,,,2WHSPJ143004.9+412706
1338,3HSPJ143109.6+271020,,217.79,27.17222,23.0,0.25,-12.4,,,2WHSPJ143109.5+271019
1339,3HSPJ143117.5+110833,,217.82283,11.1425,11.5,0.19,-12.4,,,2WHSPJ143117.3+110833
1340,3HSPJ143211.6+764355,,218.04842,76.73194,14.0,0.08,-12.4,4FGL J1432.8+7648,2.32,2WHSPJ143211.5+764354
1342,3HSPJ143342.8-730438,,218.42817,-73.07722,165.6,1.46,>-11.3,1BIGB_J143342.7-730437,1.26,2WHSPJ143342.7-730437
1344,3HSPJ143555.0+395729,,218.97908,39.95806,28.3,0.03,-12.7,,,2WHSPJ143554.8+395729
1346,3HSPJ143803.2-031511,,219.51342,-3.25306,5.0,0.14,-12.5,,,2WHSPJ143803.1-031511
1347,3HSPJ143824.0+085724,,219.60017,8.95667,58.7,0.12,-12.7?,,,2WHSPJ143823.9+085724
1350,3HSPJ143921.2-124312,,219.83842,-12.72,2.8,,-12,,,2WHSPJ143921.1-124312
1351,3HSPJ143924.4+390411,,219.85175,39.06972,2.4,0.11,-12.4,,,2WHSPJ143924.4+390410
1352,3HSPJ143932.0+064015,,219.88342,6.67083,13.3,0.1,-12?,,,2WHSPJ143931.9+064014
1353,3HSPJ143950.9-395518,,219.96192,-39.92167,24.4,2.04,-11.6,4FGL J1439.9-3953,1.86,2WHSPJ143950.8-395518
1355,3HSPJ144037.8-384655,,220.15763,-38.78194,22.8,8.18,-11.2,4FGL J1440.6-3846,1.73,2WHSPJ144037.7-384654
1357,3HSPJ144110.2+010216,,220.29267,1.03778,7.0,0.04,-13,,,2WHSPJ144110.2+010216
1359,3HSPJ144201.6+064230,,220.50646,6.70833,4.5,0.1,-12.7?,,,2WHSPJ144201.4+064229
1360,3HSPJ144236.0-462301,,220.65167,-46.38361,96.4,0.41,-12,4FGL J1442.6-4623,1.98,2WHSPJ144236.4-462300
1365,3HSPJ144437.0-250931,,221.15396,-25.15861,8.5,,-12.2,,,2WHSPJ144436.9-250930
1366,3HSPJ144446.1+474257,,221.19208,47.71583,10.4,0.05,-12.8,,,2WHSPJ144446.0+474256
1367,3HSPJ144503.8+080202,,221.26571,8.03389,3.5,,-12.2?,,,2WHSPJ144503.7+080202
1370,3HSPJ144644.8-182925,,221.68679,-18.49028,25.7,0.15,-12.2,4FGL J1446.8-1830,1.72,2WHSPJ144644.8-182925
1372,3HSPJ144743.7+460916,,221.932,46.15444,5.5,0.06,-12.8,,,2WHSPJ144743.6+460915
1374,3HSPJ144941.9-091000,,222.42454,-9.16667,39.7,0.17,-12.2,4FGL J1449.7-0910,2.04,2WHSPJ144941.8-091000
1375,3HSPJ145021.4-273052,,222.58908,-27.51444,5.0,,-12.3,,,2WHSPJ145021.2-273051
1376,3HSPJ145044.5-065005,,222.68525,-6.83472,7.3,0.26,-12.3,,,2WHSPJ145044.3-065004
1379,3HSPJ145301.9+255953,,223.25804,25.99806,5.6,0.01,-12.8,,,2WHSPJ145301.9+255953
1380,3HSPJ145400.9-120154,,223.50367,-12.03167,8.0,0.19,-11.9,,,2WHSPJ145400.7-120154
1382,3HSPJ145508.2+192015,,223.78425,19.3375,21.6,0.47,-12.2,1BIGB_J145508.2+192014,2.78,2WHSPJ145508.2+192014
1383,3HSPJ145543.7-760052,,223.93204,-76.01444,13.5,,-11.8,4FGL J1455.8-7601,1.54,2WHSPJ145543.6-760051
1384,3HSPJ145550.3+635906,,223.95971,63.985,4.2,,-12.3,,,2WHSPJ145550.2+635905
1386,3HSPJ145631.6+635036,,224.1315,63.84333,2.0,0.09,-12.4,,,2WHSPJ145631.4+635035
1387,3HSPJ145707.0+185438,,224.28087,18.91056,7.5,,-12.7?,,,2WHSPJ145707.3+185438
1389,3HSPJ145820.8+412101,,224.58658,41.35028,20.2,0.05,-12.4,,,2WHSPJ145820.7+412101
1392,3HSPJ150020.2-020122,,225.08425,-2.02278,3.3,,-12.5,,,2WHSPJ150020.2-020122
1393,3HSPJ150106.7+422235,,225.27775,42.37639,1.8,0.08,-12.9,,,2WHSPJ150106.5+422235
1394,3HSPJ150235.4-052824,,225.64763,-5.47333,2.4,0.6,-12.1?,,,2WHSPJ150235.4-052823
1397,3HSPJ150355.9+655941,,225.98296,65.99472,4.7,0.07,-12.6?,,,2WHSPJ150355.9+655940
1398,3HSPJ150425.6-004742,,226.10687,-0.795,26.7,0.12,-12.6,,,2WHSPJ150425.6-004742
1399,3HSPJ150426.7+302405,,226.11142,30.40139,8.3,0.2,-12.5?,,,2WHSPJ150426.7+302405
1400,3HSPJ150507.1+012129,,226.27954,1.35806,3.5,,-13.2?,,,2WHSPJ150507.0+012129
1401,3HSPJ150525.0-824231,,226.35587,-82.70861,34.8,0.45,-12,4FGL J1505.5-8241,2.3,2WHSPJ150525.3-824230
1402,3HSPJ150604.4+102233,,226.51842,10.37583,5.3,,-12.6?,,,2WHSPJ150604.3+102232
1405,3HSPJ150651.3+553209,,226.71367,55.53583,0.5,0.02,-13.2,,,2WHSPJ150651.1+553208
1407,3HSPJ150654.8-215925,,226.72817,-21.99028,5.4,0.48,-12,,,2WHSPJ150654.7-215925
1408,3HSPJ150708.0+454334,,226.78417,45.72611,0.8,0.03,-13?,,,2WHSPJ150708.2+454333
1409,3HSPJ150714.3+550420,,226.80971,55.07222,4.8,0.03,-12.8,,,2WHSPJ150714.2+550419
1410,3HSPJ150716.4+172103,,226.81842,17.35083,23.5,0.19,-12.3,4FGL J1507.2+1721,1.78,2WHSPJ150716.3+172102
1411,3HSPJ150826.6+014645,,227.11104,1.77917,43.0,,-12.8,,,2WHSPJ150826.5+014645
1413,3HSPJ150858.3+315438,,227.24312,31.91056,7.0,0.09,-12.6,,,2WHSPJ150858.3+315438
1414,3HSPJ150902.0+724354,,227.25817,72.73167,45.3,0.06,-12.1,,,2WHSPJ150901.9+724354
1417,3HSPJ151136.9-165326,,227.90375,-16.89056,22.4,0.36,-12,1BIGB_J151136.8-165326,2.69,2WHSPJ151136.8-165326
1418,3HSPJ151148.6-051346,,227.95237,-5.22944,17.5,3.25,-11.2,4FGL J1511.8-0513,2.03,2WHSPJ151148.4-051345
1419,3HSPJ151154.9+562936,,227.97871,56.49333,3.8,,-13.2,,,2WHSPJ151154.7+562935
1420,3HSPJ151212.7-225508,,228.05312,-22.91889,19.3,0.29,-11.8,4FGL J1512.1-2255,1.91,2WHSPJ151212.7-225508
1421,3HSPJ151234.1+162840,,228.14375,16.47778,3.4,0.17,-12.5?,,,2WHSPJ151234.5+162840
1422,3HSPJ151324.2-075451,,228.35075,-7.91417,11.3,0.54,-12.1?,,,2WHSPJ151324.1-075451
1423,3HSPJ151402.9+312612,,228.51217,31.43667,4.0,0.09,-12.4,,,2WHSPJ151402.8+312612
1424,3HSPJ151428.1-252053,,228.617,-25.34806,4.1,0.12,-12.4,,,2WHSPJ151428.0-252053
1427,3HSPJ151549.8-305817,,228.95758,-30.97139,6.3,,-12,,,2WHSPJ151549.8-305817
1432,3HSPJ151802.4+651057,,229.51008,65.1825,22.2,,-12.4,,,2WHSPJ151802.3+651057
1433,3HSPJ151803.6-273131,,229.51496,-27.52528,564.7,,-11.5,4FGL J1518.0-2731,2.13,2WHSPJ151803.4-273131
1434,3HSPJ151826.7+075222,,229.61113,7.87278,7.5,0.1,-12.2,4FGL J1518.4+0750,1.7,2WHSPJ151826.5+075222
1436,3HSPJ151845.7+061356,,229.6905,6.23222,498.1,1.88,-11.5,4FGL J1518.6+0614,1.84,2WHSPJ151845.7+061355
1437,3HSPJ151915.9+553645,,229.81625,55.6125,3.8,,-12.8,,,2WHSPJ151915.8+553644
1438,3HSPJ152039.0-054641,,230.16379,-5.77806,3.9,0.27,-12.1,,,2WHSPJ152039.2-054641
1440,3HSPJ152110.7+104054,,230.2945,10.68167,8.5,0.09,-12.7,,,2WHSPJ152110.6+104054
1441,3HSPJ152213.9-074818,,230.55788,-7.805,26.9,0.11,-12.3,,,2WHSPJ152213.7-074817
1442,3HSPJ152316.0+583515,,230.81687,58.5875,11.6,0.07,-12.5,,,2WHSPJ152316.0+583514
1443,3HSPJ152418.5-414655,,231.07717,-41.78194,52.0,0.25,-11.8,,,2WHSPJ152418.4-414654
1444,3HSPJ152559.0-242813,,231.49754,-24.47028,85.5,0.71,-12.1?,,,2WHSPJ152559.4-242813
1446,3HSPJ152624.9-070223,,231.60358,-7.03972,9.8,0.13,-12.4,,,2WHSPJ152624.7-070222
1447,3HSPJ152625.0+575855,,231.60429,57.98194,1.5,0.02,-12.8,,,2WHSPJ152625.0+575854
1448,3HSPJ152646.7-153026,,231.6945,-15.50722,30.3,0.38,-11.9,4FGL J1526.7-1529,2.12,2WHSPJ152646.6-153025
1452,3HSPJ153103.8-861226,,232.76571,-86.20722,1253.0,,-11.8,,,2WHSPJ153103.7-861225
1453,3HSPJ153120.8+564907,,232.83654,56.81861,8.1,0.06,-12.6,,,2WHSPJ153120.6+564906
1454,3HSPJ153152.4+262053,,232.96825,26.34806,3.2,,-12.9,,,2WHSPJ153152.3+262053
1456,3HSPJ153211.6+482024,,233.04829,48.34,5.3,0.03,-12.9?,,,2WHSPJ153211.5+482024
1457,3HSPJ153305.9+524758,,233.27442,52.79944,2.6,0.02,-13.1?,,,2WHSPJ153305.8+524757
1462,3HSPJ153529.7-313346,,233.87371,-31.56278,8.5,0.19,-12.2,4FGL J1535.3-3135,1.91,2WHSPJ153529.5-313346
1463,3HSPJ153544.9+155851,,233.93696,15.98083,4.0,0.07,-13,,,2WHSPJ153544.8+155850
1464,3HSPJ153623.0+122211,,234.09604,12.36972,72.7,,-12.6,,,2WHSPJ153622.9+122210
1466,3HSPJ153651.0+394506,,234.2125,39.75167,3.9,0.01,-13.3,,,2WHSPJ153651.0+394506
1467,3HSPJ153737.1+340148,,234.40446,34.03,15.7,,-12.8,,,2WHSPJ153737.0+340148
1468,3HSPJ153941.0-112835,,234.92167,-11.47639,78.8,1.09,-11.5,4FGL J1539.7-1127,2.08,2WHSPJ153941.2-112835
1469,3HSPJ153955.3-181436,,234.98025,-18.24333,5.5,0.39,-12,,,2WHSPJ153955.1-181435
1472,3HSPJ154203.1-291509,,235.51287,-29.2525,17.5,1.63,-11.4,4FGL J1541.9-2915,1.75,2WHSPJ154202.9-291509
1473,3HSPJ154347.2+163153,,235.94646,16.53139,17.9,0.1,-12.3,,,2WHSPJ154347.0+163153
1475,3HSPJ154433.2+322148,,236.13829,32.36333,14.1,0.09,-12.4,4FGL J1544.9+3218,2.05,2WHSPJ154433.1+322147
1478,3HSPJ154512.5+091133,,236.30204,9.1925,6.7,0.08,-12.8?,,,2WHSPJ154512.4+091133
1479,3HSPJ154534.7-001928,,236.39438,-0.32444,6.6,0.07,-13,,,2WHSPJ154534.6-001927
1482,3HSPJ154625.0-285723,,236.60417,-28.95639,10.5,0.89,-12.2,1BIGB_J154625.0-285723,1.7,2WHSPJ154625.0-285723
1483,3HSPJ154712.1-280221,,236.80054,-28.03917,47.5,0.7,-12.1,4FGL J1547.3-2802,1.71,2WHSPJ154712.1-280221
1484,3HSPJ154819.2-025903,,237.07992,-2.98417,4.8,,-12.5,,,2WHSPJ154819.0-025903
1485,3HSPJ154827.0-211106,,237.11375,-21.185,17.8,0.42,-12.3,,,2WHSPJ154827.3-211105
1487,3HSPJ154902.0+482158,,237.25837,48.36611,4.2,0.06,-12.6?,,,2WHSPJ154901.9+482157
1488,3HSPJ154918.7+423500,,237.32779,42.58333,8.3,,-12.5,4FGL J1549.3+4234,2.16,2WHSPJ154918.5+423459
1489,3HSPJ154939.8+195355,,237.41567,19.89861,1.2,,-12.9,,,2WHSPJ154939.5+195356
1490,3HSPJ154943.1-292349,,237.42946,-29.39694,5.0,0.25,-12.3,,,2WHSPJ154943.0-292348
1491,3HSPJ154946.0-304501,,237.44292,-30.75028,19.8,,-12.1,4FGL J1549.8-3044,1.44,2WHSPJ154946.3-304501
1492,3HSPJ154952.0-065907,,237.46683,-6.98528,13.1,1.16,-11.7,4FGL J1549.8-0659,1.92,2WHSPJ154952.0-065907
1493,3HSPJ154954.5+582607,,237.47725,58.43528,4.7,0.19,-12.3?,,,2WHSPJ154954.4+582607
1494,3HSPJ155053.3-082246,,237.722,-8.37944,26.9,0.26,-11.8,4FGL J1550.8-0822,1.93,2WHSPJ155053.2-082245
1496,3HSPJ155214.5+601710,,238.06025,60.28611,3.5,0.03,-13?,,,2WHSPJ155214.4+601709
1500,3HSPJ155432.6-121325,,238.63575,-12.22361,9.0,,-12,4FGL J1554.4-1215,1.78,2WHSPJ155432.5-121324
1501,3HSPJ155533.4+780929,,238.88921,78.15806,2.6,0.06,-12.5,,,2WHSPJ155533.4+780929
1503,3HSPJ155703.1+244218,,239.26279,24.705,5.1,0.04,-12.8?,,,2WHSPJ155702.9+244217
1504,3HSPJ155720.8+094321,,239.33679,9.7225,3.7,0.26,-12.4?,,,2WHSPJ155720.8+094321
1505,3HSPJ155812.9+004452,,239.55392,0.74778,4.2,0.19,-12.3,,,2WHSPJ155812.9+004452
1506,3HSPJ155850.4-034552,,239.70992,-3.76444,15.0,0.11,-12.5,,,2WHSPJ155850.2-034551
1508,3HSPJ155942.0+634415,,239.92496,63.7375,1.3,0.05,-12.5,,,2WHSPJ155941.8+634414
1509,3HSPJ160005.4-252439,,240.02233,-25.41083,45.4,,-12,4FGL J1559.8-2525,1.94,2WHSPJ160005.2-252438
1510,3HSPJ160135.5+161239,,240.39783,16.21083,7.1,,-12.4,,,2WHSPJ160135.4+161238
1512,3HSPJ160258.9+421203,,240.74529,42.20083,15.2,0.91,-11.8?,,,2WHSPJ160258.8+421202
1513,3HSPJ160308.0-244949,,240.78317,-24.83028,17.7,0.3,-12.3,,,2WHSPJ160307.9-244949
1517,3HSPJ160533.1+091745,,241.38796,9.29583,4.3,0.29,-12.1,,,2WHSPJ160533.1+091744
1525,3HSPJ161140.2+234519,,242.9175,23.75528,4.0,,-12.3,,,2WHSPJ161140.1+234519
1527,3HSPJ161327.2-190836,,243.36321,-19.14333,23.6,,-12.3,4FGL J1613.3-1907,2.23,2WHSPJ161327.1-190835
1528,3HSPJ161414.1+544251,,243.55875,54.71417,1.4,0.12,-12.6,,,2WHSPJ161414.0+544251
1529,3HSPJ161444.0-085120,,243.68329,-8.85556,5.7,0.37,-12.3,,,2WHSPJ161443.9-085120
1532,3HSPJ161737.8-104734,,244.40733,-10.79278,7.1,0.24,-12.1,,,2WHSPJ161737.6-104734
1533,3HSPJ161757.1+602416,,244.49129,60.40444,14.3,0.02,-13,,,2WHSPJ161757.8+602415
1534,3HSPJ161946.6+193416,,244.94408,19.57111,3.6,0.08,-12.8,,,2WHSPJ161946.4+193415
1535,3HSPJ162007.8+323027,,245.03267,32.5075,4.2,0.06,-12.8,,,2WHSPJ162007.7+323027
1536,3HSPJ162044.4+343511,,245.18483,34.58639,9.5,0.14,-12.5,,,2WHSPJ162044.2+343511
1538,3HSPJ162142.0+454828,,245.42629,45.80778,6.6,,-12.8,,,2WHSPJ162142.3+454828
1540,3HSPJ162330.6+085724,,245.87733,8.95667,1.5,0.38,>-12.2,4FGL J1623.4+0858,1.94,2WHSPJ162330.4+085724
1542,3HSPJ162458.7+220330,,246.24438,22.05833,0.6,0.06,-12.9?,,,2WHSPJ162458.6+220329
1544,3HSPJ162642.8+080314,,246.67838,8.05389,18.2,0.11,-12.7,,,2WHSPJ162642.7+080314
1545,3HSPJ162646.0+630048,,246.69187,63.01333,15.4,0.36,-12,4FGL J1626.5+6257,1.95,2WHSPJ162646.0+630047
1547,3HSPJ162819.4+363010,,247.08063,36.50278,4.0,0.08,-12.8,,,2WHSPJ162819.3+363010
1549,3HSPJ162920.0+263352,,247.33379,26.56444,2.3,0.07,-12.7,,,2WHSPJ162920.1+263351
1550,3HSPJ162939.5+701449,,247.4145,70.24694,4.8,,-12.7,,,2WHSPJ162939.4+701448
1551,3HSPJ162950.6+584050,,247.46079,58.68056,3.4,,-12.7,,,2WHSPJ162950.5+584050
1552,3HSPJ162958.0+531105,,247.49163,53.18472,4.8,0.08,-12.4,,,2WHSPJ162957.9+531104
1554,3HSPJ163119.7+102404,,247.83217,10.40111,11.2,0.07,-12.7,,,2WHSPJ163119.6+102403
1558,3HSPJ163309.1+700550,,248.28783,70.09722,6.8,,-12.8,,,2WHSPJ163308.9+700549
1559,3HSPJ163417.0+330520,,248.571,33.08889,25.3,,>-13,,,2WHSPJ163416.9+330520
1560,3HSPJ163559.0+183158,,248.99754,18.53278,18.1,0.14,-12.4,,,2WHSPJ163559.3+183158
1563,3HSPJ163715.3+463948,,249.31392,46.66333,1.0,0.03,-12.9,,,2WHSPJ163715.2+463947
1569,3HSPJ163920.6+560902,,249.83604,56.15056,55.4,0.05,-12.6,,,2WHSPJ163920.5+560902
1571,3HSPJ164014.9+685234,,250.06225,68.87611,8.3,0.07,-11.8,4FGL J1640.3+6850,2.08,2WHSPJ164014.8+685233
1575,3HSPJ164339.5+331647,,250.91442,33.27972,65.6,0.08,-12.7,4FGL J1643.7+3317,1.52,2WHSPJ164339.4+331646
1576,3HSPJ164345.7-111925,,250.94033,-11.32361,18.3,0.58,-12.5,,,2WHSPJ164345.5-111924
1578,3HSPJ164438.6-015202,,251.16088,-1.86722,35.8,0.24,-12.2,,,2WHSPJ164438.5-015201
1579,3HSPJ164549.1+792129,,251.45667,79.35806,50.6,0.24,-12.1,,,2WHSPJ164549.6+792129
1581,3HSPJ164702.1+385001,,251.76087,38.83361,3.2,0.07,-12.8?,,,2WHSPJ164702.5+385000
1582,3HSPJ164721.0+132306,,251.83746,13.385,1.7,0.09,-12.7,,,2WHSPJ164720.8+132305
1583,3HSPJ164845.2+800512,,252.18829,80.08667,4.0,0.17,-12.3,,,2WHSPJ164845.1+800512
1588,3HSPJ165419.7+470803,,253.582,47.13417,6.4,0.05,-12.5,,,2WHSPJ165419.6+470803
1589,3HSPJ165431.1+651952,,253.62954,65.33111,3.4,0.01,-13,,,2WHSPJ165431.0+651951
1590,3HSPJ165504.2+660100,,253.76742,66.01667,6.8,0.03,-12.8,,,2WHSPJ165504.0+660100
1591,3HSPJ165517.9-224045,,253.82479,-22.67917,26.4,0.74,-11.8?,1BIGB_J165517.8-224045,1.89,2WHSPJ165517.8-224045
1592,3HSPJ165655.1-201056,,254.22975,-20.18222,37.3,0.89,-11.4,4FGL J1656.9-2010,1.96,2WHSPJ165655.0-201055
1593,3HSPJ165746.8+675527,,254.44483,67.92417,32.7,0.02,-12.2,,,2WHSPJ165746.6+675527
1595,3HSPJ170052.7+332431,,255.21942,33.40861,1.4,0.08,-12.5,,,2WHSPJ170052.6+332430
1596,3HSPJ170054.4+462853,,255.22654,46.48139,2.7,0.06,-12.8?,,,2WHSPJ170054.2+462853
1597,3HSPJ170132.3+381103,,255.3845,38.18417,3.9,0.05,-13?,,,2WHSPJ170132.2+381103
1600,3HSPJ170433.8-052840,,256.14096,-5.47778,10.2,,-11.9,4FGL J1704.5-0527,2.18,2WHSPJ170433.7-052840
1602,3HSPJ170622.7+063847,,256.59479,6.64639,44.4,0.34,-12.4,,,2WHSPJ170622.6+063847
1603,3HSPJ170807.8+473223,,257.03237,47.53972,16.0,0.06,-12.7,,,2WHSPJ170807.6+473222
1604,3HSPJ170941.6+623918,,257.42346,62.655,1.2,0.03,-12.9,,,2WHSPJ170941.5+623918
1605,3HSPJ171002.0+552033,,257.50879,55.3425,0.8,,-12.3,,,2WHSPJ171002.1+552033
1606,3HSPJ171008.1+610223,,257.53712,61.03972,1.2,,-12.5,,,2WHSPJ171008.8+610222
1607,3HSPJ171105.9+120813,,257.77454,12.13694,38.3,0.13,-12.4,,,2WHSPJ171105.8+120812
1608,3HSPJ171108.7+024404,,257.78621,2.73444,17.7,1.35,-12,1BIGB_J171108.5+024403,1.87,2WHSPJ171108.5+024403
1609,3HSPJ171116.6+572518,,257.81937,57.42167,5.9,0.12,-12.4,,,2WHSPJ171116.6+572518
1611,3HSPJ171405.4-202752,,258.52267,-20.46444,8.5,2.06,-11.3,4FGL J1714.0-2029,1.34,2WHSPJ171405.3-202751
1612,3HSPJ171419.8+371612,,258.58246,37.27,16.2,,-12.5?,,,2WHSPJ171419.6+371612
1614,3HSPJ171531.5+205935,,258.88121,20.99306,26.6,0.24,-12.2,,,2WHSPJ171531.3+205935
1615,3HSPJ171553.3+884415,,258.97208,88.7375,12.0,0.15,-12.3,4FGL J1713.7+8844,1.57,2WHSPJ171553.2+884414
1616,3HSPJ171610.2+433756,,259.04246,43.63222,1.8,0.04,-12.7,,,2WHSPJ171610.0+433755
1617,3HSPJ171622.9+480246,,259.09558,48.04611,4.4,0.04,-12.6,,,2WHSPJ171622.9+480245
1618,3HSPJ171841.4+360522,,259.67258,36.08944,13.6,0.07,-12.7,,,2WHSPJ171841.4+360521
1619,3HSPJ171902.3+552434,,259.75971,55.40944,1.8,0.09,-12.5,,,2WHSPJ171902.2+552433
1620,3HSPJ171921.5+120721,,259.83958,12.1225,57.6,0.19,-12.4,4FGL J1719.3+1205,2.08,2WHSPJ171921.4+120721
1621,3HSPJ172035.0+100511,,260.14567,10.08639,17.6,0.3,-12.6,,,2WHSPJ172034.9+100511
1623,3HSPJ172658.2+263437,,261.74267,26.57694,34.6,0.32,-12.3,,,2WHSPJ172658.2+263436
1625,3HSPJ172838.3+704102,,262.15979,70.68389,5.8,0.06,-12.3,,,2WHSPJ172838.2+704102
1627,3HSPJ173044.8+380454,,262.68663,38.08167,7.3,0.08,-12.6,,,2WHSPJ173044.6+380454
1630,3HSPJ173842.5+382102,,264.67696,38.35056,13.4,0.4,-12.1?,,,2WHSPJ173842.4+382102
1631,3HSPJ174017.4+432450,,265.07242,43.41389,6.7,0.09,-12.7,,,2WHSPJ174017.2+432450
1632,3HSPJ174109.0-733814,,265.28738,-73.63722,9.9,,-11.9,,,2WHSPJ174108.8-733813
1633,3HSPJ174357.5+375310,,265.98975,37.88611,4.1,0.09,-12.5,,,2WHSPJ174357.4+375309
1635,3HSPJ174419.8+185218,,266.0825,18.87167,12.8,0.17,-12,4FGL J1744.4+1851,1.61,2WHSPJ174419.7+185218
1642,3HSPJ174929.9+463135,,267.37471,46.52639,3.5,0.1,-12.5,,,2WHSPJ174929.8+463135
1643,3HSPJ175052.7+550750,,267.71971,55.13056,11.4,0.03,-12.7,,,2WHSPJ175052.6+550750
1644,3HSPJ175156.8+655117,,267.98687,65.85472,40.6,0.04,-12.7,,,2WHSPJ175156.8+655116
1645,3HSPJ175328.1+321848,,268.367,32.31333,2.9,0.17,-12.5,,2.02,2WHSPJ175328.0+321847
1646,3HSPJ175600.7+332924,,269.00287,33.49,21.2,0.04,-12.8,,,2WHSPJ175600.5+332924
1649,3HSPJ175751.0-453506,,269.46379,-45.585,51.2,0.18,-11.9,,,2WHSPJ175751.2-453506
1651,3HSPJ175955.3+150109,,269.98025,15.01917,2.9,0.34,-11.9,,,2WHSPJ175955.2+150109
1652,3HSPJ180002.0+281045,,270.0085,28.17917,9.0,0.44,-12,4FGL J1800.1+2812,1.88,2WHSPJ180001.9+281045
1653,3HSPJ180144.0+295055,,270.43317,29.84861,17.9,0.41,-12.1,FL8Y J1801.8+2948,,2WHSPJ180143.9+295054
1654,3HSPJ180158.9+610938,,270.49554,61.16056,29.5,0.08,-12.2,,,2WHSPJ180158.9+610938
1655,3HSPJ180311.4+723504,,270.79767,72.58444,21.7,0.02,-12.7,,,2WHSPJ180311.3+723503
1658,3HSPJ180409.0+562122,,271.03879,56.35611,4.5,0.15,-12.4,,,2WHSPJ180409.3+562121
1659,3HSPJ180431.9+614113,,271.13308,61.68694,3.8,0.03,-12.9,,,2WHSPJ180432.2+614120
1660,3HSPJ180451.4+322026,,271.21412,32.34056,10.6,0.23,-12.3,,,2WHSPJ180451.3+322026
1662,3HSPJ180832.7+510407,,272.13633,51.06861,4.7,0.09,-12.3,,,2WHSPJ180832.7+510406
