id,3HSP Source name,BZcat name,R.A.,Dec,NVSS/FIRSTflux density(mJy),X-ray flux d. @ 1keV (μJy),Log(peak flux),γ-ray counterpart,Fermi γ-ray slope,2WHSP name
555,3HSPJ062753.4-151957,,96.97237,-15.3325,43.4,1.25,-11.7,3FGL J0627.9-1517,2.72,2WHSPJ062753.2-151956
556,3HSPJ063015.1-201236,,97.56275,-20.21,8.5,0.67,-11.8,1BIGB_J063014.9-201236,1.84,2WHSPJ063014.9-201236
558,3HSPJ063257.1+591541,,98.24125,59.26139,40.0,0.1,-12.3,,,2WHSPJ063257.9+591541
561,3HSPJ063841.4-261744,,99.67267,-26.29556,3.7,0.37,-12.2,,,2WHSPJ063841.4-261744
562,3HSPJ064007.2-125315,,100.02992,-12.8875,225.2,1.7,-10.9,4FGL J0640.0-1253,1.51,2WHSPJ064007.0-125314
566,3HSPJ064443.7-285116,,101.18225,-28.85444,53.5,1.97,-11.9,4FGL J0644.6-2853,2.11,2WHSPJ064443.6-285115
567,3HSPJ064710.0-513547,,101.79183,-51.59639,70.8,2.84,-11.2,4FGL J0647.0-5138,2.19,2WHSPJ064710.0-513547
569,3HSPJ064827.5+711313,,102.11442,71.22028,3.9,0.06,-12.3,,,2WHSPJ064827.4+711313
571,3HSPJ064850.5-694522,,102.21038,-69.75611,40.6,0.68,-11.8,,,2WHSPJ064850.3-694521
572,3HSPJ064933.6-313920,,102.39,-31.65556,7.5,5.37,-11.4,4FGL J0649.5-3139,1.73,2WHSPJ064933.5-313920
576,3HSPJ065105.0+401338,,102.77254,40.22722,32.2,0.2,-11.8,4FGL J0651.0+4013,2.12,2WHSPJ065105.3+401337
577,3HSPJ065200.6-480859,,103.00237,-48.14972,71.7,0.21,-12,4FGL J0652.1-4813,2.04,2WHSPJ065200.4-480858
580,3HSPJ065751.3-284307,,104.46392,-28.71861,65.1,,-12,,,2WHSPJ065751.3-284306
582,3HSPJ065932.9-674350,,104.88717,-67.73056,25.2,0.17,-12,4FGL J0659.6-6742,1.53,2WHSPJ065932.8-674350
594,3HSPJ071525.3-513738,,108.85538,-51.62722,68.8,,-11.9,,,2WHSPJ071525.2-513737
595,3HSPJ071625.7+750700,,109.10692,75.11667,15.9,0.05,-12.6,,,2WHSPJ071625.6+750700
596,3HSPJ071745.1-552022,,109.43775,-55.33944,47.4,0.15,-12.1,4FGL J0717.7-5519,2.16,2WHSPJ071745.0-552021
597,3HSPJ071908.1-705403,,109.78587,-70.90083,20.9,0.1,-12.6,4FGL J0719.1-7055,1.97,2WHSPJ071908.5-705402
598,3HSPJ071959.9+632228,,109.99942,63.37444,49.9,0.02,-12.7,,,2WHSPJ071959.8+632227
602,3HSPJ072348.3+205130,,110.95142,20.85833,43.4,,-11.9,4FGL J0723.7+2050,2.4,2WHSPJ072348.2+205129
603,3HSPJ072406.2+535114,,111.02596,53.85389,17.9,,-11.8,,,2WHSPJ072406.0+535110
608,3HSPJ073049.5-660218,,112.70633,-66.03833,81.3,0.69,-11.5,4FGL J0730.7-6602,1.79,2WHSPJ073049.4-660217
609,3HSPJ073124.3-584122,,112.85113,-58.68944,16.5,0.07,-12.3,,,2WHSPJ073124.1-584121
611,3HSPJ073326.8+515355,,113.36163,51.89861,25.0,1.34,-11.2,4FGL J0733.4+5152,1.74,2WHSPJ073326.7+515354
613,3HSPJ073518.5+034735,,113.82713,3.79306,4.3,,-12,,,2WHSPJ073518.4+034735
614,3HSPJ073522.0+514641,,113.84175,51.77806,2.8,0.11,-12.4,,,2WHSPJ073522.0+514641
619,3HSPJ074322.1-563254,,115.84204,-56.54833,11.7,0.08,-12.4,,,2WHSPJ074322.0-563253
621,3HSPJ074419.1-621100,,116.08254,-62.18333,48.7,0.2,-12.1,,,2WHSPJ074419.7-621059
622,3HSPJ074439.9-011430,,116.16642,-1.24167,3.8,0.14,-12.3,,,2WHSPJ074439.9-011430
624,3HSPJ074642.0-475455,,116.67629,-47.91528,106.7,0.37,-11.3,4FGL J0746.6-4754,2.25,2WHSPJ074642.3-475455
625,3HSPJ074709.5+062306,,116.78958,6.385,34.6,,-12,,,2WHSPJ074709.4+062305
627,3HSPJ074716.2+851208,,116.81767,85.20222,11.4,0.32,-11.8,4FGL J0748.3+8511,1.79,2WHSPJ074716.2+851207
629,3HSPJ074724.7-492633,,116.85308,-49.4425,33.1,0.22,-11.6,4FGL J0747.5-4927,2.27,2WHSPJ074724.7-492633
630,3HSPJ074734.5+612650,,116.89392,61.44722,3.3,0.03,-12.2?,,,2WHSPJ074735.7+612603
635,3HSPJ075212.6+040901,,118.05246,4.15028,8.1,0.24,-11.7,,,2WHSPJ075212.4+040901
