,RAJ2000,DEJ2000,Name,Type,Rmag,Bmag,Comment,R,B,z,Qpct,XName,RName,Lobe1,Lobe2
732202,166.3296391,-18.2204122,1WGA J1105.3-1813        ,QRX ,19.02,19.04,jG ,-,-, 0.578,100,1WGA J1105.3-1813     ,VL0J110519.11-181313.1,NVSS J110519.1-181313 ,
732240,166.3368958,25.253858,SDSS J110520.85+251513.8 ,QRX ,21.23,21.41,g  ,-,-, 2.910,100,2XMM J110521.0+251516 ,VL0J110520.85+251513.8,FIRST J110520.8+251513,
732779,166.4151829,4.246747,SDSS J110539.64+041448.2 ,QRX ,17.23,17.45,gmG,-,-, 0.436, 99,2RXS J110539.5+041448 ,VL0J110539.64+041448.5,FIRST J110539.6+041448,XMMSL J110539.1+041454
732869,166.4280227,2.0474883,SDSS J110542.72+020250.8 ,QRX ,18.77,18.89,gG ,-,-, 0.455, 99,2RXS J110542.6+020249 ,FIRST J110542.7+020251,                      ,
732925,166.435996,43.2945868,SDSS J110544.63+431740.5 ,QRX ,19.14,19.46,gG ,-,-, 1.416,100,4XMM J110544.6+431740 ,FIRST J110544.7+431739,                      ,
733404,166.513414,3.8550674,SDSS J110603.22+035118.1 ,QRX ,19.86,19.75,jG ,1,-, 1.142,100,CXO J110603.2+035117  ,VL0J110603.19+035118.4,FIRST J110603.2+035117,
733517,166.5302521,28.2130748,87GB 11034+2829          ,QRX ,18.13,18.60,gG ,-,-, 0.844,100,2SXPS J110607.2+281247,VL0J110607.26+281247.1,FIRST J110607.2+281247,NVSS J110607.2+281247
734339,166.6533027,-1.248536,SDSS J110636.79-011454.7 ,QRX ,16.50,16.76,gG ,1,1, 0.998, 99,2SXPS J110636.8-011455,FIRST J110636.7-011454,VL0J110636.78-011454.4,XMMSL J110636.7-011501
734737,166.7126864,52.5750443,SDSS J110651.04+523430.1 ,QRX ,21.52,21.48,g  ,-,-, 2.059,100,4XMM J110651.0+523430 ,VL0J110651.01+523430.0,FIRST J110651.0+523430,NVSS J110650.9+523431
735174,166.7850568,4.6049566,HS 1104+0452             ,QRX ,17.35,17.67,gmG,-,-, 2.660, 99,2SXPS J110708.3+043618,FIRST J110708.3+043618,                      ,
735192,166.786225,-44.8187826,PKS 1104-445             ,QRX ,17.37,17.85,jG ,-,-, 1.598, 99,2SXPS J110708.7-444907,SUMSS J110708.5-444907,2RXS J110709.2-444903 ,
735632,166.8576183,52.3254557,IVS B1104+525            ,QRX ,18.46,18.47,gG ,-,-, 0.944,100,4XMM J110725.8+521931 ,VL0J110725.79+521931.5,FIRST J110725.8+521931,NVSS J110725.8+521932
736084,166.9238461,72.5433343,1WGA J1107.7+7232        ,QRX ,18.06,18.60,pG ,-,-, 2.100,100,2SXPS J110741.7+723235,VL0J110741.64+723235.7,NVSS J110741.7+723235 ,2RXP J110742.2+723235
