id,RA,DEC,Source name,Redshift,Radio flux d.,Fermi flux,Log nu_peak,Original catalog
191,10.953708333333335,34.44052777777778,5BZQJ0043+3426 ,0.966,93.0,2.62e-11,0.0,5BZCAT
193,11.071,-37.88310833333333,5BZQJ0044-3752 ,0.483,19.0,0.0,0.0,5BZCAT
195,11.330250000000001,21.46113888888889,5BZBJ0045+2127 ,0.0,49.0,1.91e-11,15.8,5BZCAT
197,11.4305,12.286608333333334,5BZBJ0045+1217 ,0.0,104.0,1.06e-11,0.0,5BZCAT
198,11.414958333333333,-22.731938888888887,5BZQJ0045-2243 ,1.538,156.0,0.0,0.0,5BZCAT
201,11.698041666666667,39.01313888888889,5BZQJ0046+3900 ,0.958,195.0,0.0,0.0,5BZCAT
202,11.110666666666667,-84.37777777777778,5BZQJ0044-8422 ,1.032,530.0,3.82e-12,0.0,5BZCAT
203,11.75175,56.961777777777776,5BZBJ0047+5657 ,0.0,190.0,1.08e-11,0.0,5BZCAT
204,11.790750000000001,20.291527777777777,5BZBJ0047+2017 ,0.0,100.0,0.0,0.0,5BZCAT
206,11.932750000000002,24.587747222222223,5BZQJ0047+2435 ,0.62,268.0,0.0,0.0,5BZCAT
207,11.98,39.816,5BZBJ0047+3948 ,0.252,92.0,8.3e-12,16.1,5BZCAT
209,12.010791666666668,22.59005833333333,5BZQJ0048+2235 ,1.161,84.0,7.19e-12,0.0,5BZCAT
210,12.196416666666666,31.957,5BZGJ0048+3157 ,0.015,292.0,0.0,0.0,5BZCAT
217,12.408041666666668,51.47055833333334,5BZQJ0049+5128 ,0.87,144.0,0.0,0.0,5BZCAT
218,12.319166666666666,-44.95305833333333,5BZUJ0049-4457 ,0.121,206.0,2.23e-12,0.0,5BZCAT
219,12.345333333333333,-31.274247222222222,5BZQJ0049-3116 ,2.721,161.0,0.0,0.0,5BZCAT
221,12.3905,-25.159419444444445,5BZQJ0049-2509 ,1.472,95.0,0.0,0.0,5BZCAT
222,12.43,2.6177472222222224,5BZBJ0049+0237 ,0.0,425.0,1.25e-11,0.0,5BZCAT
223,11.964041666666668,-82.94702777777778,5BZQJ0047-8256 ,1.112,204.0,0.0,0.0,5BZCAT
226,12.497958333333333,-57.640747222222224,5BZQJ0049-5738 ,1.797,2111.0,5.54e-12,0.0,5BZCAT
227,12.589708333333334,-4.872308333333334,5BZQJ0050-0452 ,0.922,254.0,1.4e-11,0.0,5BZCAT
229,12.672,-9.484669444444444,5BZBJ0050-0929 ,0.0,814.0,3.42e-11,0.0,5BZCAT
232,12.784166666666666,-6.833858333333334,5BZQJ0051-0650 ,1.975,905.0,9.21e-12,0.0,5BZCAT
233,12.789499999999999,-42.44241944444445,5BZQJ0051-4226 ,1.749,676.0,3.65e-12,0.0,5BZCAT
234,12.819333333333333,-62.701188888888886,5BZBJ0051-6242 ,0.0,43.0,1.63e-11,15.8,5BZCAT
235,13.115916666666665,44.048497222222224,5BZQJ0052+4402 ,2.624,146.0,0.0,0.0,5BZCAT
237,13.218916666666665,-28.431669444444445,5BZQJ0052-2825 ,1.643,224.0,0.0,0.0,5BZCAT
243,13.694749999999999,-24.924688888888888,5BZBJ0054-2455 ,0.0,24.0,9.24e-12,15.7,5BZCAT
248,14.0835,-9.608497222222223,5BZGJ0056-0936 ,0.103,199.0,7.98e-12,15.9,5BZCAT
249,14.134458333333333,-21.285527777777776,5BZBJ0056-2117 ,0.0,90.0,6.72e-12,0.0,5BZCAT
250,14.230208333333334,16.420419444444445,5BZBJ0056+1625 ,0.206,125.0,2.26e-12,0.0,5BZCAT
253,14.320749999999999,-0.40905833333333336,5BZQJ0057-0024 ,2.747,134.0,0.0,0.0,5BZCAT
254,14.330208333333333,-22.210277777777776,5BZBJ0057-2212 ,0.0,98.0,0.0,0.0,5BZCAT
257,14.521041666666669,-5.664527777777778,5BZQJ0058-0539 ,1.246,742.0,6.11e-12,0.0,5BZCAT
259,14.569916666666668,17.387058333333332,5BZBJ0058+1723 ,0.0,9.0,0.0,17.4,5BZCAT
260,14.509208333333335,-32.57238888888889,5BZBJ0058-3234 ,0.0,186.0,1.24e-11,0.0,5BZCAT
262,14.633500000000002,33.18816944444445,5BZUJ0058+3311 ,1.369,161.0,3.05e-12,0.0,5BZCAT
263,14.64075,6.335108333333333,5BZQJ0058+0620 ,0.592,90.0,0.0,0.0,5BZCAT
265,14.772958333333333,0.11435833333333334,5BZQJ0059+0006 ,0.719,2510.0,2.37e-12,0.0,5BZCAT
266,14.694,-56.98652777777778,5BZUJ0058-5659 ,0.0,485.0,5.23e-12,0.0,5BZCAT
267,14.820458333333333,-1.8382472222222224,5BZGJ0059-0150 ,0.114,18.0,2.56e-12,17.7,5BZCAT
268,14.732708333333335,-52.32443888888889,5BZBJ0058-5219 ,0.0,86.0,0.0,0.0,5BZCAT
271,15.086666666666666,7.764277777777778,5BZUJ0100+0745 ,0.0,99.0,1.31e-11,0.0,5BZCAT
272,15.03870833333333,-33.62560833333333,5BZQJ0100-3337 ,0.874,70.0,0.0,0.0,5BZCAT
273,15.1595,33.751688888888886,5BZQJ0100+3345 ,2.144,84.0,0.0,0.0,5BZCAT
274,15.242416666666665,-0.9298083333333333,5BZBJ0100-0055 ,0.0,33.0,2.09e-12,0.0,5BZCAT
278,15.612958333333331,42.23866944444445,5BZQJ0102+4214 ,0.874,43.0,7.91e-12,0.0,5BZCAT
280,15.690666666666667,58.403058333333334,5BZUJ0102+5824 ,0.644,849.0,4.73e-11,0.0,5BZCAT
285,15.734749999999998,-26.776688888888888,5BZQJ0102-2646 ,1.597,291.0,0.0,0.0,5BZCAT
286,15.870208333333332,43.38330833333333,5BZGJ0103+4322 ,0.0,40.0,0.0,0.0,5BZCAT
287,15.858291666666666,15.440188888888889,5BZGJ0103+1526 ,0.246,225.0,2.35e-12,15.0,5BZCAT
288,15.577458333333334,-75.78082777777777,5BZQJ0102-7546 ,1.017,184.0,2.91e-12,0.0,5BZCAT
291,15.561708333333332,-80.21093888888889,5BZQJ0102-8012 ,1.169,113.0,0.0,0.0,5BZCAT
292,15.890458333333333,-64.65210833333333,5BZUJ0103-6439 ,0.163,153.0,0.0,0.0,5BZCAT
294,16.288708333333332,39.47091944444445,5BZBJ0105+3928 ,0.44,91.0,6.63e-12,0.0,5BZCAT
295,16.242458333333335,-24.274558333333335,5BZQJ0104-2416 ,1.747,235.0,6.5e-12,0.0,5BZCAT
298,16.50120833333333,34.03413888888889,5BZUJ0106+3402 ,0.579,348.0,0.0,0.0,5BZCAT
299,16.54570833333333,25.658438888888888,5BZGJ0106+2539 ,0.199,130.0,0.0,0.0,5BZCAT
300,16.59575,-1.9273083333333334,5BZQJ0106-0155 ,2.194,603.0,0.0,0.0,5BZCAT
301,16.608666666666664,-27.30327777777778,5BZQJ0106-2718 ,2.486,455.0,0.0,0.0,5BZCAT
302,16.683958333333333,-10.569527777777777,5BZQJ0106-1034 ,0.469,276.0,0.0,0.0,5BZCAT
303,16.68795833333333,-40.57218888888889,5BZQJ0106-4034 ,0.584,662.0,0.0,0.0,5BZCAT
306,16.949499999999997,26.18568888888889,5BZQJ0107+2611 ,0.522,190.0,0.0,0.0,5BZCAT
307,17.11175,-0.6233888888888889,5BZQJ0108-0037 ,1.374,933.0,3.87e-12,0.0,5BZCAT
308,17.161499999999997,1.5834194444444445,5BZQJ0108+0135 ,2.099,2621.0,1.16e-10,0.0,5BZCAT
309,17.284,18.26875,5BZBJ0109+1816 ,0.0,90.0,7.25e-12,0.0,5BZCAT
311,17.442999999999998,61.55843888888889,5BZQJ0109+6133 ,0.783,305.0,3.53e-11,0.0,5BZCAT
312,17.553541666666664,68.09477777777778,5BZUJ0110+6805 ,0.0,1715.0,2.58e-11,0.0,5BZCAT
313,17.51995833333333,41.83080833333333,5BZGJ0110+4149 ,0.096,85.0,0.0,15.9,5BZCAT
315,17.55275,-0.7963083333333333,5BZBJ0110-0047 ,0.548,29.0,0.0,0.0,5BZCAT
317,17.628708333333332,-4.258608333333333,5BZBJ0110-0415 ,0.0,164.0,0.0,0.0,5BZCAT
319,17.64795833333333,-16.80768888888889,5BZQJ0110-1648 ,0.78,106.0,0.0,0.0,5BZCAT
320,17.708416666666665,-7.69475,5BZQJ0110-0741 ,1.779,846.0,0.0,0.0,5BZCAT
321,17.70820833333333,-12.917638888888888,5BZBJ0110-1255 ,0.234,17.0,2.45e-12,17.2,5BZCAT
322,17.905458333333332,39.10780833333333,5BZUJ0111+3906 ,0.668,429.0,0.0,0.0,5BZCAT
323,17.87575,5.607558333333333,5BZBJ0111+0536 ,0.346,16.0,1.63e-12,17.0,5BZCAT
325,18.024208333333334,22.744108333333333,5BZBJ0112+2244 ,0.265,385.0,7.51e-11,0.0,5BZCAT
326,18.053916666666666,35.37202777777778,5BZQJ0112+3522 ,0.45,399.0,0.0,0.0,5BZCAT
327,17.986916666666666,-13.28363888888889,5BZQJ0111-1317 ,2.42,256.0,0.0,0.0,5BZCAT
328,18.075208333333332,38.31580833333334,5BZQJ0112+3818 ,0.333,58.0,0.0,0.0,5BZCAT
329,18.042458333333332,20.339388888888887,5BZQJ0112+2020 ,0.746,471.0,0.0,0.0,5BZCAT
330,18.20970833333333,32.13813888888889,5BZQJ0112+3208 ,0.603,685.0,2.91e-11,0.0,5BZCAT
332,18.136499999999998,-32.02835833333334,5BZBJ0112-3201 ,0.0,4.0,0.0,16.4,5BZCAT
334,18.36245833333333,49.80663888888889,5BZQJ0113+4948 ,0.389,667.0,1.2e-11,0.0,5BZCAT
335,18.07875,-66.5791888888889,5BZQJ0112-6634 ,1.189,450.0,3.73e-12,0.0,5BZCAT
337,18.316,-35.863308333333336,5BZQJ0113-3551 ,1.22,180.0,3.54e-12,0.0,5BZCAT
338,18.42970833333333,2.371438888888889,5BZGJ0113+0222 ,0.047,491.0,3.15e-12,0.0,5BZCAT
339,18.477083333333333,13.414558333333334,5BZQJ0113+1324 ,0.685,248.0,0.0,0.0,5BZCAT
342,18.719875,13.427058333333333,5BZBJ0114+1325 ,0.0,63.0,1.28e-11,0.0,5BZCAT
343,18.757166666666667,-34.007558333333336,5BZBJ0115-3400 ,0.482,6.0,1.74e-12,17.9,5BZCAT
344,18.82125,-1.4512777777777779,5BZQJ0115-0127 ,1.381,1076.0,4.88e-12,0.0,5BZCAT
346,18.849458333333335,-28.082,5BZQJ0115-2804 ,2.579,439.0,0.0,0.0,5BZCAT
347,18.942249999999998,25.33149722222222,5BZBJ0115+2519 ,0.0,38.0,1.23e-11,15.7,5BZCAT
348,18.91875,3.945358333333333,5BZBJ0115+0356 ,0.0,99.0,1.37e-11,0.0,5BZCAT
349,18.943416666666664,-30.821938888888887,5BZQJ0115-3049 ,1.414,328.0,0.0,0.0,5BZCAT
351,19.052166666666665,-11.604277777777778,5BZQJ0116-1136 ,0.671,1785.0,1.27e-11,0.0,5BZCAT
